Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU02680	NCU02680-t26_2	Neurospora crassa OR74A	nuclear protein localization protein 4, variant 1, nuclear protein localization protein 4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005789;GO:0031965;GO:0048471	endoplasmic reticulum membrane;nuclear membrane;perinuclear region of cytoplasm	N/A	N/A	GO:0051028;GO:0051169;GO:0006605;GO:0015031;GO:0006511	mRNA transport;nuclear transport;protein targeting;protein transport;ubiquitin-dependent protein catabolic process
NCU02681	NCU02681-t26_1	Neurospora crassa OR74A	translocation protein	N/A	GO:0031207	Sec62/Sec63 complex	N/A	N/A	GO:0031204	posttranslational protein targeting to membrane, translocation	GO:0031207;GO:0005783;GO:0016021	Sec62/Sec63 complex;endoplasmic reticulum;integral component of membrane	N/A	N/A	GO:0031204;GO:0006605	posttranslational protein targeting to membrane, translocation;protein targeting
NCU02682	NCU02682-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02683	NCU02683-t26_1	Neurospora crassa OR74A	hypothetical protein	dno-3	GO:0031261;GO:0005664;GO:0005656	DNA replication preinitiation complex;nuclear origin of replication recognition complex;nuclear pre-replicative complex	GO:0003688	DNA replication origin binding	GO:0006270;GO:0006267	DNA replication initiation;pre-replicative complex assembly involved in nuclear cell cycle DNA replication	GO:0005664	nuclear origin of replication recognition complex	GO:0003677	DNA binding	GO:0006260;GO:0019236	DNA replication;response to pheromone
NCU02684	NCU02684-t26_1	Neurospora crassa OR74A	PWWP domain-containing protein	crf4-3	GO:0009514	glyoxysome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02685	NCU02685-t26_1	Neurospora crassa OR74A	pre-mRNA splicing helicase	mrpp-7	GO:0005634;GO:0005681	nucleus;spliceosomal complex	GO:0003723;GO:0003724	RNA binding;RNA helicase activity	GO:0000398;GO:0000388	mRNA splicing, via spliceosome;spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	N/A	N/A	GO:0005524;GO:0003676	ATP binding;nucleic acid binding	N/A	N/A
NCU02686	NCU02686-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02687	NCU02687-t26_1	Neurospora crassa OR74A	activator 1 41 kDa subunit	dra-4	GO:0005663;GO:0005634	DNA replication factor C complex;nucleus	N/A	N/A	GO:0006281;GO:0006261	DNA repair;DNA-dependent DNA replication	GO:0031391	Elg1 RFC-like complex	GO:0005524;GO:0003677;GO:0003682	ATP binding;DNA binding;chromatin binding	GO:0006260;GO:0006271;GO:0070914;GO:0033314	DNA replication;DNA strand elongation involved in DNA replication;UV-damage excision repair;mitotic DNA replication checkpoint signaling
NCU02688	NCU02688-t26_1	Neurospora crassa OR74A	ubiquitin-conjugating enzyme-10	uce-10	N/A	N/A	GO:0061631	ubiquitin conjugating enzyme activity	GO:0043161;GO:0000209;GO:0006511	proteasome-mediated ubiquitin-dependent protein catabolic process;protein polyubiquitination;ubiquitin-dependent protein catabolic process	N/A	N/A	N/A	N/A	N/A	N/A
NCU02688	NCU02688-t26_2	Neurospora crassa OR74A	ubiquitin-conjugating enzyme-10	uce-10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02689	NCU02689-t26_1	Neurospora crassa OR74A	LIM and Rho-GAP domain-containing protein	amyc	GO:0005737;GO:0001411	cytoplasm;hyphal tip	GO:0005096	GTPase activator activity	GO:0030036;GO:0007163;GO:0009272;GO:0030448;GO:0120166;GO:0032884	actin cytoskeleton organization;establishment or maintenance of cell polarity;fungal-type cell wall biogenesis;hyphal growth;protoperithecium formation;regulation of cell wall chitin biosynthetic process	N/A	N/A	GO:0046872	metal ion binding	GO:0051666;GO:0140278;GO:0008360;GO:0007165	actin cortical patch localization;mitotic division septum assembly;regulation of cell shape;signal transduction
NCU02690	NCU02690-t26_1	Neurospora crassa OR74A	mitochondrial integral membrane protein	N/A	GO:0005783	endoplasmic reticulum	N/A	N/A	GO:0010883	regulation of lipid storage	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02691	NCU02691-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0009416	response to light stimulus	N/A	N/A	N/A	N/A	N/A	N/A
NCU02691	NCU02691-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02692	NCU02692-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02693	NCU02693-t26_1	Neurospora crassa OR74A	Putative sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	erg-26	GO:0005783	endoplasmic reticulum	GO:0000252;GO:0016491;GO:0016616	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity;oxidoreductase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0006696	ergosterol biosynthetic process	N/A	N/A	GO:0003854;GO:0016616	3-beta-hydroxy-delta5-steroid dehydrogenase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0006629;GO:0055114;GO:0006694	lipid metabolic process;obsolete oxidation-reduction process;steroid biosynthetic process
NCU02694	NCU02694-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02695	NCU02695-t26_1	Neurospora crassa OR74A	hypothetical protein	ada-23	GO:0000790	nuclear chromatin	N/A	N/A	GO:0006357	regulation of transcription by RNA polymerase II	N/A	N/A	GO:0003677	DNA binding	N/A	N/A
NCU02696	NCU02696-t26_1	Neurospora crassa OR74A	pre-mRNA-processing ATP-dependent RNA helicase prp-5	mrpp-8	GO:0005634	nucleus	N/A	N/A	GO:0000398	mRNA splicing, via spliceosome	GO:0071004	U2-type prespliceosome	GO:0005524;GO:0003724;GO:1990446;GO:1990447;GO:0003676	ATP binding;RNA helicase activity;U1 snRNP binding;U2 snRNP binding;nucleic acid binding	GO:1903241	U2-type prespliceosome assembly
NCU02697	NCU02697-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02697	NCU02697-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02698	NCU02698-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02699	NCU02699-t26_1	Neurospora crassa OR74A	zinc finger transcription factor-14	znf-14	GO:0005634	nucleus	GO:0001228;GO:0000978	DNA-binding transcription activator activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0034599;GO:0010468;GO:0006355	cellular response to oxidative stress;regulation of gene expression;regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A
NCU02700	NCU02700-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02701	NCU02701-t26_1	Neurospora crassa OR74A	dipeptidyl peptidase	dpp-2	GO:0005737	cytoplasm	GO:0008239	dipeptidyl-peptidase activity	GO:0034599	cellular response to oxidative stress	GO:0005737	cytoplasm	GO:0008239;GO:0046872;GO:0070006	dipeptidyl-peptidase activity;metal ion binding;metalloaminopeptidase activity	GO:0006508	proteolysis
NCU02702	NCU02702-t26_1	Neurospora crassa OR74A	glucokinase-1	gki-1	N/A	N/A	GO:0046316	gluconokinase activity	GO:0046177	D-gluconate catabolic process	N/A	N/A	GO:0005524;GO:0016301	ATP binding;kinase activity	GO:0005975;GO:0006098	carbohydrate metabolic process;pentose-phosphate shunt
NCU02703	NCU02703-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02704	NCU02704-t26_1	Neurospora crassa OR74A	branched-chain alpha-keto acid dehydrogenase E2 component	N/A	GO:0005737;GO:0005739	cytoplasm;mitochondrion	GO:0016407;GO:0031405	acetyltransferase activity;lipoic acid binding	GO:0034599;GO:0042594	cellular response to oxidative stress;response to starvation	N/A	N/A	GO:0016746	acyltransferase activity	GO:0005975;GO:0006520	carbohydrate metabolic process;cellular amino acid metabolic process
NCU02705	NCU02705-t26_1	Neurospora crassa OR74A	F1F0 ATP synthase assembly protein Atp10	apa-3	GO:0032592;GO:0005743	integral component of mitochondrial membrane;mitochondrial inner membrane	N/A	N/A	GO:0034599;GO:0033615	cellular response to oxidative stress;mitochondrial proton-transporting ATP synthase complex assembly	N/A	N/A	N/A	N/A	GO:0065003	protein-containing complex assembly
NCU02706	NCU02706-t26_1	Neurospora crassa OR74A	protein transporter GOS1	sna-2	GO:0005797;GO:0000139;GO:0031201;GO:0005801	Golgi medial cisterna;Golgi membrane;SNARE complex;cis-Golgi network	GO:0005484	SNAP receptor activity	GO:0006888;GO:0048209;GO:0006906	endoplasmic reticulum to Golgi vesicle-mediated transport;regulation of vesicle targeting, to, from or within Golgi;vesicle fusion	GO:0005794;GO:0000139;GO:0005801;GO:0016021	Golgi apparatus;Golgi membrane;cis-Golgi network;integral component of membrane	N/A	N/A	GO:0006888;GO:0006605;GO:0015031;GO:0016192	endoplasmic reticulum to Golgi vesicle-mediated transport;protein targeting;protein transport;vesicle-mediated transport
NCU02707	NCU02707-t26_1	Neurospora crassa OR74A	60S ribosomal protein L6	crp-39	GO:0022625;GO:0009514	cytosolic large ribosomal subunit;glyoxysome	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	GO:0002181;GO:0000027;GO:0006412	cytoplasmic translation;ribosomal large subunit assembly;translation	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation
NCU02710	NCU02710-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02711	NCU02711-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02712	NCU02712-t26_1	Neurospora crassa OR74A	acetate-10	ace-10	N/A	N/A	N/A	N/A	GO:0009416	response to light stimulus	N/A	N/A	GO:0005524;GO:0008776;GO:0016301;GO:0000287;GO:0016774	ATP binding;acetate kinase activity;kinase activity;magnesium ion binding;phosphotransferase activity, carboxyl group as acceptor	GO:0006085;GO:0005975;GO:0006082;GO:0016310;GO:0006468	acetyl-CoA biosynthetic process;carbohydrate metabolic process;organic acid metabolic process;phosphorylation;protein phosphorylation
NCU02713	NCU02713-t26_1	Neurospora crassa OR74A	conidial separation-1	csp-1	GO:0031519;GO:0000790;GO:0005634;GO:0005667	PcG protein complex;nuclear chromatin;nucleus;transcription regulator complex	GO:0003677;GO:0000978;GO:0043565	DNA binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;sequence-specific DNA binding	GO:0071333;GO:0048315;GO:0070873;GO:0009416	cellular response to glucose stimulus;conidium formation;regulation of glycogen metabolic process;response to light stimulus	N/A	N/A	GO:0016564	obsolete transcription repressor activity	N/A	N/A
NCU02716	NCU02716-t26_1	Neurospora crassa OR74A	pre-mRNA splicing factor	mrpp-3	GO:0005687;GO:0071011;GO:0097526	U4 snRNP;precatalytic spliceosome;spliceosomal tri-snRNP complex	N/A	N/A	GO:0000398	mRNA splicing, via spliceosome	GO:0046540;GO:0005634	U4/U6 x U5 tri-snRNP complex;nucleus	GO:0003723	RNA binding	GO:0008380;GO:0045292;GO:0000398;GO:0000244	RNA splicing;mRNA cis splicing, via spliceosome;mRNA splicing, via spliceosome;spliceosomal tri-snRNP complex assembly
NCU02717	NCU02717-t26_1	Neurospora crassa OR74A	pre-mRNA-splicing factor clf-1	msp-17	GO:0000974;GO:0071007;GO:0071013;GO:0071014	Prp19 complex;U2-type catalytic step 2 spliceosome;catalytic step 2 spliceosome;post-mRNA release spliceosomal complex	N/A	N/A	GO:0000398;GO:0000245	mRNA splicing, via spliceosome;spliceosomal complex assembly	GO:0071006;GO:0071008;GO:0071004;GO:0000785;GO:0005634	U2-type catalytic step 1 spliceosome;U2-type post-mRNA release spliceosomal complex;U2-type prespliceosome;chromatin;nucleus	GO:0003688;GO:0003682;GO:0005515	DNA replication origin binding;chromatin binding;protein binding	GO:0006270;GO:0006396;GO:0008380;GO:0000354;GO:0065003	DNA replication initiation;RNA processing;RNA splicing;cis assembly of pre-catalytic spliceosome;protein-containing complex assembly
NCU02718	NCU02718-t26_1	Neurospora crassa OR74A	Septal pore-associated protein 11	spa-11	GO:0000934	porous cell septum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02718	NCU02718-t26_2	Neurospora crassa OR74A	Septal pore-associated protein 11	spa-11	GO:0000934	porous cell septum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02718	NCU02718-t26_3	Neurospora crassa OR74A	Septal pore-associated protein 11	spa-11	GO:0000934	porous cell septum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02719	NCU02719-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0046983	protein dimerization activity	N/A	N/A
NCU02720	NCU02720-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003723	RNA binding	N/A	N/A
NCU02721	NCU02721-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02722	NCU02722-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02723	NCU02723-t26_1	Neurospora crassa OR74A	SFT2 domain-containing protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0000139;GO:0016021	Golgi membrane;integral component of membrane	N/A	N/A	GO:0015031;GO:0016192	protein transport;vesicle-mediated transport
NCU02724	NCU02724-t26_1	Neurospora crassa OR74A	transcription factor-21	tcf-21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003677;GO:0046983	DNA binding;protein dimerization activity	GO:0006355	regulation of transcription, DNA-templated
NCU02724	NCU02724-t26_2	Neurospora crassa OR74A	transcription factor-21	tcf-21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0046983	protein dimerization activity	N/A	N/A
NCU02725	NCU02725-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:1990130;GO:0097042	GATOR1 complex;extrinsic component of fungal-type vacuolar membrane	N/A	N/A	GO:0038202;GO:0034198;GO:0032007;GO:2000785	TORC1 signaling;cellular response to amino acid starvation;negative regulation of TOR signaling;regulation of autophagosome assembly	N/A	N/A	N/A	N/A	GO:0034198;GO:0032007	cellular response to amino acid starvation;negative regulation of TOR signaling
NCU02726	NCU02726-t26_1	Neurospora crassa OR74A	glycerophospholipid-4	gpl-4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016301	kinase activity	GO:0008654	phospholipid biosynthetic process
NCU02727	NCU02727-t26_1	Neurospora crassa OR74A	glycine-3	gly-3	GO:0005739	mitochondrion	GO:0004047	aminomethyltransferase activity	GO:0034599;GO:0019464	cellular response to oxidative stress;glycine decarboxylation via glycine cleavage system	N/A	N/A	GO:0004047;GO:0004375;GO:0005515;GO:0008483	aminomethyltransferase activity;glycine dehydrogenase (decarboxylating) activity;protein binding;transaminase activity	GO:0006546;GO:0006730	glycine catabolic process;one-carbon metabolic process
NCU02728	NCU02728-t26_1	Neurospora crassa OR74A	pre-mRNA splicing factor ATP-dependent RNA helicase prp16	msp-18	GO:0005681	spliceosomal complex	GO:0003723	RNA binding	GO:0000398	mRNA splicing, via spliceosome	GO:0005634	nucleus	GO:0005524;GO:0004386;GO:0003676	ATP binding;helicase activity;nucleic acid binding	GO:0008380	RNA splicing
NCU02729	NCU02729-t26_1	Neurospora crassa OR74A	transducin family protein	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	GO:0005634	nucleus	GO:0005515	protein binding	GO:0008361;GO:0006355	regulation of cell size;regulation of transcription, DNA-templated
NCU02730	NCU02730-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02731	NCU02731-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005634;GO:0005681	nucleus;spliceosomal complex	N/A	N/A	GO:0034599;GO:0048024	cellular response to oxidative stress;regulation of mRNA splicing, via spliceosome	N/A	N/A	N/A	N/A	N/A	N/A
NCU02732	NCU02732-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02733	NCU02733-t26_1	Neurospora crassa OR74A	golgi-2	gol-2	GO:0030173	integral component of Golgi membrane	N/A	N/A	GO:0009306;GO:0016192	protein secretion;vesicle-mediated transport	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02733	NCU02733-t26_2	Neurospora crassa OR74A	golgi-2	gol-2	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000139;GO:0016021	Golgi membrane;integral component of membrane	N/A	N/A	N/A	N/A
NCU02734	NCU02734-t26_1	Neurospora crassa OR74A	citryl-CoA lyase-1	ccl-1	GO:0005739	mitochondrion	GO:0000287	magnesium ion binding	GO:0006107;GO:0010034	oxaloacetate metabolic process;response to acetate	N/A	N/A	GO:0003824;GO:0016829	catalytic activity;lyase activity	GO:0006099	tricarboxylic acid cycle
NCU02735	NCU02735-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02736	NCU02736-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0003723;GO:0003676	RNA binding;nucleic acid binding	N/A	N/A
NCU02736	NCU02736-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	GO:0005634	nucleus	GO:0003729	mRNA binding	N/A	N/A	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A
NCU02737	NCU02737-t26_1	Neurospora crassa OR74A	transport of metals-57	trm-57	GO:0005737	cytoplasm	GO:0003839	gamma-glutamylcyclotransferase activity	GO:0006751	glutathione catabolic process	N/A	N/A	GO:0003839;GO:0061928	gamma-glutamylcyclotransferase activity;glutathione specific gamma-glutamylcyclotransferase activity	GO:0006751	glutathione catabolic process
NCU02738	NCU02738-t26_1	Neurospora crassa OR74A	EF hand domain-containing protein, variant 1, EF hand domain-containing protein	pef-1	N/A	N/A	N/A	N/A	GO:0030436	asexual sporulation	N/A	N/A	GO:0005509	calcium ion binding	GO:0006915;GO:0035556	apoptotic process;intracellular signal transduction
NCU02738	NCU02738-t26_2	Neurospora crassa OR74A	EF hand domain-containing protein, variant 1, EF hand domain-containing protein	pef-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005509	calcium ion binding	N/A	N/A
NCU02739	NCU02739-t26_1	Neurospora crassa OR74A	transcription factor-8	tcf-8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02740	NCU02740-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02741	NCU02741-t26_1	Neurospora crassa OR74A	MEI3	mei-3	GO:0000794;GO:0000228	condensed nuclear chromosome;nuclear chromosome	GO:0008094;GO:0000150;GO:0003690;GO:0003697	ATP-dependent activity, acting on DNA;DNA strand exchange activity;double-stranded DNA binding;single-stranded DNA binding	GO:0000730;GO:0071479;GO:0070192;GO:0045002;GO:0030491;GO:0000709;GO:0006312;GO:0016441;GO:0070918;GO:0007131;GO:0010212;GO:0042148;GO:0000722	DNA recombinase assembly;cellular response to ionizing radiation;chromosome organization involved in meiotic cell cycle;double-strand break repair via single-strand annealing;heteroduplex formation;meiotic joint molecule formation;mitotic recombination;posttranscriptional gene silencing;production o	GO:0000775;GO:0005634;GO:0035861	chromosome, centromeric region;nucleus;site of double-strand break	GO:0005524;GO:0008094;GO:0003677;GO:0000150;GO:1905334;GO:0003690;GO:0042802;GO:0000166;GO:0003697	ATP binding;ATP-dependent activity, acting on DNA;DNA binding;DNA strand exchange activity;Swi5-Sfr1 complex binding;double-stranded DNA binding;identical protein binding;nucleotide binding;single-stranded DNA binding	GO:0006259;GO:0006281;GO:1990918;GO:0000724;GO:0036297;GO:0007533;GO:0000708;GO:1990426;GO:0051260;GO:0000723	DNA metabolic process;DNA repair;double-strand break repair involved in meiotic recombination;double-strand break repair via homologous recombination;interstrand cross-link repair;mating type switching;meiotic strand invasion;mitotic recombination-dependent replication fork processing;protein homool
